지역,이름,세부내용,아이콘,경도,위도,방문여부,충전소명,급속충전가능여부,충전소경도,충전소위도
서귀포,우정회센타,"서귀포올레시장에서 회포장으로 가장 유명한 곳이다. 외부의 TV모니터로 내부의 주방을 실시간으로 보여주는, 위생에 대한 자신감이 느껴지는 곳이다.",식당,126.5636636,33.2497749,purple,삼화석유 늘푸른자동차충전소,Y,126.5112821,33.50062225
서귀포,[폐업] 수일통닭 서귀포점,,식당,126.5607568,33.2534873,purple,세기자동차공업사,N,126.5040771,33.50046379
서귀포,삼보식당 (전복뚝배기),,식당,126.5591182,33.2476546,green,김경희부동산,N,126.5052576,33.49952003
서귀포,마농치킨,,식당,126.562905,33.2503751,green,비전교회,N,126.5208178,33.50748995
서귀포,오는정김밥,,식당,126.5677094,33.249761,green,미라클호텔,Y,126.4812523,33.50941507
서귀포,송가해장국 (뼈해장국),,식당,126.5641851,33.2472201,green,베니스타워,Y,126.4819658,33.50959116
서귀포,신효귤향과즐,,카페,126.6136201,33.2613596,blue,신흥노을바다펜션,Y,126.4842395,33.51166348
서귀포,더클리프,,카페,126.4150026,33.2442683,red,그림리조트,N,126.5034837,33.51618514
서귀포,제주오성,,식당,126.4146427,33.2556752,red,대어,N,126.5030793,33.51612942
서귀포,연돈 (돈가스),,식당,126.4072279,33.2588855,blue,한국자동차공업사,N,126.564133,33.5155154
서귀포,고집돌우럭 중문점,,식당,126.4167654,33.2579863,blue,쌍용자동차제주정비사업소,N,126.564133,33.5155154
서귀포,물질식육식당 (고기짬뽕),,식당,126.4803661,33.2353646,red,태산봉,Y,126.5303653,33.51164498
서귀포,정이가네 (소한마리국밥),,식당,126.511215,33.2519475,red,노형뜨란채아파트,Y,126.473212,33.48711549
서귀포,느린제주,,식당,126.5118366,33.2336203,red,노형 e-편한세상아파트,Y,126.4698536,33.48521143
서귀포,뽈살집 (흑돼지특수부위),,식당,126.5632005,33.2506684,blue,정원파인즈16차,N,126.5438835,33.48621646
서귀포,베이커리카페70 (크루와상),르꼬르동블루 출신의 제빵사가 있는 베이커리,카페,126.5692246,33.2449649,red,제주연구원,Y,126.5145823,33.46770901
서귀포,천일만두 (중국요리),"추천메뉴: 마파두부, 고기만두, 꽃핀가지",식당,126.5591927,33.2505301,red,온난화대응농업연구소,N,126.5170202,33.46728216
서귀포,허니문하우스,,카페,126.5788137,33.2441213,blue,하버빌,N,126.5278887,33.47536266
서귀포,"차이나마씸 (해물짬뽕,전복짜장)",,식당,126.6014941,33.2412819,red,코즈게스트하우스,Y,126.3385513,33.30428986
서귀포,[도민추천] 김부자식당 (갈치조림),,식당,126.6067645,33.239454,red,레몬트리,N,126.3949929,33.48393093
서귀포,테라로사 서귀포점,,카페,126.6187916,33.2494603,red,스마일공업사,N,126.3447456,33.46517493
서귀포,"올레낭쿰 (갈비전골,낭쿰순두부)",맛있는 제주만들기 13호점,식당,126.6210879,33.2633829,red,애월포세이돈,Y,126.3488168,33.46910205
서귀포,오렌지호텔,,숙소,126.5573281,33.2471515,purple,고성2리 경로당,Y,126.4252445,33.43562695
서귀포,"헤이, 서귀포",,숙소,126.5600906,33.2462261,purple,제주전기렌트카 광령주차장,Y,126.434255,33.463862
서귀포,호텔더그랑 중문,,숙소,126.413096,33.257432,purple,광령자동차공업사,N,126.4342218,33.44419372
서귀포,스위트메이 서귀포,,숙소,126.5076128,33.2525381,green,광명식당,N,126.4391203,33.46109021
표선/남원,달달미깡감귤밭 ★★★,체험비 1인 10000원,관광지,126.6203719,33.2792199,purple,납읍리보건소(남읍리사무소),Y,126.3301257,33.43872717
표선/남원,공천포검은모래사장,,관광지,126.6415625,33.2652286,green,제주전파관리소,Y,126.372641,33.40477911
표선/남원,휴애리,,관광지,126.6344779,33.3087383,blue,고스트하우스,N,126.3567705,33.4758658
표선/남원,동백포레스트,,관광지,126.6333046,33.3008996,red,파란노을제주애월,N,126.3122701,33.46217525
표선/남원,물영아리오름,습지가 장관이라 수량을 확인하고 갈 것,관광지,126.6935554,33.3692294,red,씨앤힐스파펜션,N,126.3524586,33.47296549
표선/남원,동백수목원 ★★★,입장료 1인 4000원,관광지,126.6780106,33.2752541,purple,빌라드애월,N,126.3600019,33.47767128
표선/남원,남원큰엉해안경승지,"<img src=""https://doc-0o-4s-mymaps.googleusercontent.com/untrusted/hostedimage/2k6f04g7o5f4i5vlpniliokllc/kib4pfblv8su2ssavk0teg9ack/1624600503500/eudwVJoR8ByexvN4gEao0ZOMTS7TFjsf/04356243881978241486/5AOlzF5Z7_kLFbECMtWdhiz8uxc8822h71rDglXs6n8ElHSreG1lnrxIYzJGZNQermko5uINrClrORELLwPqAqQdCyjgkE8kheiypP6hz80rukxrE2qRlb8YdNwgx-Mf3S6teoggAVLAry_VLxEAlxbTgpjf95D13wImY6KaR0L37J0QYBl0ajnjwJJP9TSgg3Q?session=0&fife"" height=""200"" width=""auto"" /><br><br>",관광지,126.7010089,33.2719127,blue,부면동정류장 뒤 마을시설,Y,126.3325249,33.41639508
표선/남원,제주허브동산,,관광지,126.8149538,33.329788,red,애월리에,N,126.3781303,33.4737533
표선/남원,따라비오름,가을.겨울 억새가 아름다운 곳<br>난이도가 상당히 높다,관광지,126.7534582,33.3870582,red,제주시간여행휴양펜션,N,126.3761547,33.47200511
표선/남원,녹차밭 동굴포토존,,포토존,126.7886847,33.3821819,red,유수암주유소,Y,126.4107962,33.42734021
표선/남원,성읍민속마을,,관광지,126.7997102,33.3863435,purple,폴라리스,N,126.4081252,33.43811418
표선/남원,제주민속촌,,관광지,126.841868,33.322511,red,제이디피모터스애월점,N,126.3163442,33.46059657
표선/남원,세계술박물관,,관광지,126.817669,33.3539592,green,덕우자동차공업사,N,126.3353249,33.46146073
표선/남원,보롬왓,,관광지,126.7527705,33.4136187,purple,풀빌라더시크릿 애월점,Y,126.3393692,33.46262916
표선/남원,백약이오름,,관광지,126.7917034,33.4377473,red,대박이네마트,Y,126.4029714,33.48340343
표선/남원,표선해비치해변,,관광지,126.837535,33.3278719,green,제주소년원,Y,126.3852907,33.4097399
표선/남원,청초밭,,관광지,126.7809284,33.4201662,blue,제일빌리지,N,126.4450204,33.46227081
표선/남원,공새미59,"간장돼지덮밥, 보말칼국수",식당,126.6405498,33.2642242,purple,중엄리복지회관(새마을회),Y,126.3725952,33.47270481
